age,gender,year in school,where do you live,frat or soro member,activ:religion,binge drink,drug use:marijuana,drug use:cigarettes,number_of_sexual_partners,GPA,GPA Recode,Recode:marijuana,Recode:cigarettes
20,male,sophomore,co-ed dorm,no,not impt,twice,used past 30d,used past 30d,0,B-,B,Used,Current User
21,female,senior,frat/sorority,yes,important,once,"used, > 12mos",used past 30d,0,A-,A,Used,Current User
25,male,senior,off-campus,no,important,twice,"used, > 30day",never used,1,B-,B,Used,never used
20,male,sophomore,co-ed dorm,no,important,twice,never used,never used,,B,B,never used,never used
26,male,sophomore,off-campus,no,somewhat imp,none,"used, > 12mos",used past 30d,1,B,B,Used,Current User
26,male,=> 5th yr,off-campus,no,,none,never used,"used, > 30day",,C+,C,never used,Current User
19,female,freshman,1 sex dorm,no,somewhat imp,none,never used,never used,,D,D,never used,never used
24,female,senior,off-campus,no,somewhat imp,none,"used, > 12mos",never used,1,B,B,Used,never used
20,male,sophomore,1 sex dorm,no,somewhat imp,twice,"used, > 30day","used, > 30day",1,B+,B,Used,Current User
21,male,senior,off-campus,no,somewhat imp,none,never used,never used,1,B,B,never used,never used
23,female,senior,off-campus,no,very import,none,never used,never used,,B+,B,never used,never used
22,female,junior,oth univ hsg,no,not impt,,"used, > 30day",used past 30d,1,B,B,Used,Current User
18,female,freshman,co-ed dorm,no,important,none,never used,never used,,A-,A,never used,never used
26,female,senior,off-campus,no,important,none,never used,never used,1,A,A,never used,never used
20,female,senior,off-campus,no,very import,none,never used,never used,1,A,A,never used,never used
20,male,freshman,off-campus,no,somewhat imp,none,never used,never used,,A-,A,never used,never used
26,female,=> 5th yr,off-campus,no,not impt,3-5 times,"used, > 12mos",used past 30d,1,B,B,Used,Current User
21,female,senior,co-ed dorm,no,important,3-5 times,"used, > 12mos","used, > 30day",1,B+,B,Used,Current User
21,male,senior,co-ed dorm,no,very import,none,never used,never used,,A-,A,never used,never used
21,female,junior,off-campus,no,very import,none,used past 30d,used past 30d,1,A,A,Used,Current User
21,female,junior,frat/sorority,yes,not impt,none,"used, > 12mos","used, > 30day",0,A,A,Used,Current User
20,female,sophomore,1 sex dorm,no,very import,none,never used,never used,,A,A,never used,never used
20,female,senior,oth univ hsg,no,somewhat imp,once,never used,never used,1,A-,A,never used,never used
23,male,=> 5th yr,off-campus,no,very import,none,never used,never used,,B,B,never used,never used
21,female,senior,off-campus,no,not impt,none,never used,"used, > 12mos",0,A,A,never used,Previous User
22,female,=> 5th yr,off-campus,yes,somewhat imp,6-9 times,never used,never used,0,B-,B,never used,never used
